frame,second,predicted_class_max,pushup,abworkout,squat,pullup,run,jump,rest,totalcounter
701,29.208333333333332,pullup,5,2,1,2,1,0,0,11
703,29.291666666666668,pullup,5,2,1,2,1,0,0,11
705,29.375,pullup,5,2,1,2,1,0,0,11
707,29.458333333333332,pullup,5,2,1,2,1,0,0,11
709,29.541666666666668,pullup,5,2,1,2,1,0,0,11
711,29.625,pullup,5,2,1,2,1,0,0,11
713,29.708333333333332,pullup,5,2,1,2,1,0,0,11
715,29.791666666666668,pullup,5,2,1,2,1,0,0,11
717,29.875,pullup,5,2,1,2,1,0,0,11
719,29.958333333333332,pullup,5,2,1,2,1,0,0,11
721,30.041666666666668,pullup,5,2,1,2,1,0,0,11
723,30.125,pushup,6,2,1,2,1,0,0,12
725,30.208333333333332,pushup,6,2,1,2,1,0,0,12
727,30.291666666666668,pushup,6,2,1,2,1,0,0,12
729,30.375,pushup,6,2,1,2,1,0,0,12
731,30.458333333333332,pushup,6,2,1,2,1,0,0,12
733,30.541666666666668,pushup,6,2,1,2,1,0,0,12
735,30.625,pushup,6,2,1,2,1,0,0,12
737,30.708333333333332,pushup,6,2,1,2,1,0,0,12
739,30.791666666666668,pushup,6,2,1,2,1,0,0,12
741,30.875,pushup,6,2,1,2,1,0,0,12
743,30.958333333333332,pushup,6,2,1,2,1,0,0,12
745,31.041666666666668,pushup,6,2,1,2,1,0,0,12
747,31.125,pushup,6,2,1,2,1,0,0,12
749,31.208333333333332,pushup,6,2,1,2,1,0,0,12
751,31.291666666666668,pushup,6,2,1,2,1,0,0,12
753,31.375,pushup,6,2,1,2,1,0,0,12
755,31.458333333333332,pushup,6,2,1,2,1,0,0,12
757,31.541666666666668,pushup,6,2,1,2,1,0,0,12
759,31.625,pushup,6,2,1,2,1,0,0,12
761,31.708333333333332,pushup,6,2,1,2,1,0,0,12
763,31.791666666666668,pushup,6,2,1,2,1,0,0,12
765,31.875,pushup,6,2,1,2,1,0,0,12
767,31.958333333333332,pushup,6,2,1,2,1,0,0,12
769,32.041666666666664,pushup,6,2,1,2,1,0,0,12
771,32.125,pushup,6,2,1,2,1,0,0,12
773,32.208333333333336,pushup,6,2,1,2,1,0,0,12
775,32.291666666666664,pushup,6,2,1,2,1,0,0,12
777,32.375,pushup,6,2,1,2,1,0,0,12
779,32.458333333333336,pushup,6,2,1,2,1,0,0,12
781,32.541666666666664,pushup,6,2,1,2,1,0,0,12
783,32.625,pushup,7,2,1,2,1,0,0,13
785,32.708333333333336,pushup,7,2,1,2,1,0,0,13
787,32.791666666666664,pushup,7,2,1,2,1,0,0,13
789,32.875,pushup,7,2,1,2,1,0,0,13
791,32.958333333333336,pushup,7,2,1,2,1,0,0,13
793,33.041666666666664,pushup,7,2,1,2,1,0,0,13
795,33.125,pushup,7,2,1,2,1,0,0,13
